"Path","Change","OldSHA256","NewSHA256","Reason"
"R/workflow.R","MODIFIED","4001f7527e79e460a00e470359fccd4796a994fdd29830fb1f46551835e800c8","9afa967d9f05f3bd591f697c09ffdc5dfb66a4b8615a9c6012f9ab3ec2f2cd1c","Wire quantitative output generation/rendering/receipts"
"config/analysis.json","MODIFIED","5eebf80af51b4e2f16f787436cc8195c29ed6a66bbb1826dcef11defc4c7da66","67ff493c23954a9e5ce3d41c81f0d74c1fce4e7903380761083e56f30a8550f0","Independent v3.2 identity; formal parameters unchanged"
"input/contract.json","MODIFIED","54ce0c064f04a82ae1ac7bf760e6eeaa9fcdc584c6eb74e6d69ea32655cb7363","94f709e081fab63ae5d43e7cc297a2abf45707dbe8f0583e0a7c603ea406d818","Independent v3.2 identity; observations/sites untouched"
"input/observations.csv","COPIED_UNCHANGED","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79","3c886f7f2c11012463296b350a931543542b4e1c0d128ad3c408fda9ae824d79","Retained v3.1 implementation/fixture; see executed test inventory"
"input/sites.csv","COPIED_UNCHANGED","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5","0a99692b060f13d1faaa870d06ea7dca9a4f16bc289636bcc88f5d105ebdacb5","Retained v3.1 implementation/fixture; see executed test inventory"
"scripts/ENVIRONMENT.md","MODIFIED","0a7999bb7cc967fd751f98be1c3fc2de06d024f5fcf1f7451a8412e5894eab80","c7032ab8eec3e443ff0b70ab221031b83ba15d071fdcc0c840cf2e5ab05d1cd2","Reproducible environment or complete evidence delivery support"
"scripts/build_complete_archive.ps1","MODIFIED","3c577c2aff6c68a343920bfbfe89fc871370b7d022b4f8b9b950b9a3f4d87a69","8ab10777c9eb2224536ae84b84018cf635997d7fd8968fd09557d3f91d6ebf6e","Reproducible environment or complete evidence delivery support"
"scripts/restore_environment.R","MODIFIED","04d2a1f9458fbdcc88b2d2ee0d5d6a4d0eb9704e79b8c66f79e167e7dd943325","a0ad16e90fdf783233650a8514c8ca0fb3781765014ca808661bbb37ef2abea2","Same pinned renv source with300s timeout/mirror fallback; SHA check preserved"
"scripts/test_environment.R","COPIED_UNCHANGED","3a239e76f88f8cb2c1ceea250f70790591a7335ab237e4eb629ea12481254102","3a239e76f88f8cb2c1ceea250f70790591a7335ab237e4eb629ea12481254102","Retained v3.1 implementation/fixture; see executed test inventory"
"scripts/upload_release_asset.ps1","MODIFIED","53a7984225ea532962f70f1ebbe07b529ddf3c05f7b123d134850dcf05dadc43","525beffa09cf4568ed8e2f4c30df3f26e618eac231363dbbf33b8fe7883bfab8","Reproducible environment or complete evidence delivery support"
"src/audit_run.R","COPIED_UNCHANGED","641ace08e8b5be25f81502e4e28bc6d9856461cc1cc231146b4bcf20c9988f4c","641ace08e8b5be25f81502e4e28bc6d9856461cc1cc231146b4bcf20c9988f4c","Retained v3.1 implementation/fixture; see executed test inventory"
"src/plot_species_predictions.R","COPIED_UNCHANGED","587f6b47df19e1b58e9cbe19a5aaeddb9fe84d52158bc7c2dfcf400fb2ca3813","587f6b47df19e1b58e9cbe19a5aaeddb9fe84d52158bc7c2dfcf400fb2ca3813","Retained v3.1 implementation/fixture; see executed test inventory"
"src/postprocess_results.R","COPIED_UNCHANGED","30ff4ef0ec6cca355c1aaf984fb52e21623f19c92961f887a6496e2c1a835b5c","30ff4ef0ec6cca355c1aaf984fb52e21623f19c92961f887a6496e2c1a835b5c","Retained v3.1 implementation/fixture; see executed test inventory"
"src/v3_pipeline.R","COPIED_UNCHANGED","fefde2a9652a985c537f5e8d268009ba51e51acad6c31bcb255043280c24c17c","fefde2a9652a985c537f5e8d268009ba51e51acad6c31bcb255043280c24c17c","Retained v3.1 implementation/fixture; see executed test inventory"
"src/write_reports.R","COPIED_UNCHANGED","e78395b5c9202f7db1cf5c2566f6d4e48af138e1496c4dd36c02aca64a0f8560","e78395b5c9202f7db1cf5c2566f6d4e48af138e1496c4dd36c02aca64a0f8560","Retained v3.1 implementation/fixture; see executed test inventory"
"stan/joint_bb.stan","MODIFIED","ed5cf0761285718fec900cbb8a4d219621d53b960753e333d98b0b761eb05964","db491633fcadbd940c2e78280660a47cd037f46795c9dce2258f9381c4571430","3.1: stable log-domain tails/intervals and derivative-aware convergence"
"tests/check_external.R","COPIED_UNCHANGED","72d356b09c460c241b8d1e4dbaf8c3ef815646ae0374b71a90afdb8756bc7e81","72d356b09c460c241b8d1e4dbaf8c3ef815646ae0374b71a90afdb8756bc7e81","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/check_prepared.R","COPIED_UNCHANGED","3121f19d3359181994ecb99fe7919e76290e67a3325defb886587668b47e4e03","3121f19d3359181994ecb99fe7919e76290e67a3325defb886587668b47e4e03","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/check_smoke_scores.R","COPIED_UNCHANGED","0fc5870aa1ee89e239ffa7c71688945cd60cf317473842222f971e81dd413817","0fc5870aa1ee89e239ffa7c71688945cd60cf317473842222f971e81dd413817","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/fixtures_v32.R","ADDED","","279ab0396668887266ccdfabae6f46a2976224f63dc5fd78de5c2aa544c8f166","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/parse_all.R","COPIED_UNCHANGED","b9ca19b069d38249a3aa514cdba27910c3ff1900106cb56b81619f16304bf129","b9ca19b069d38249a3aa514cdba27910c3ff1900106cb56b81619f16304bf129","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/prepare_binary_fixture.R","ADDED","","1ae6126ca3eeda4c46aa08721814c1a6ca60b22082aa0add217085e4d04bb6d8","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/print_versions.R","COPIED_UNCHANGED","2cf977bba767b6a336b742864b00d0dffdb156536a5153c67706cfc1145bb179","2cf977bba767b6a336b742864b00d0dffdb156536a5153c67706cfc1145bb179","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/run_audit_deterministic.R","ADDED","","9d1afeab6eacd0946e35406e6bda995bb70d93aff988fad227aa014046bbca54","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/run_tests.R","MODIFIED","4939b37a515c38cec67cfe23637aede082cb501a70b4190d38bcb056ebbcacf3","09592c66671244814e8e405240e360801e32405c61e1755a7bad2fa0e63fdfa9","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/run_v32_regressions.R","ADDED","","6d9bf11445c524b1b8aa9ce641eacf35772033aa53c22468a63f2aa0d6c94748","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/save_validation_snapshots.R","COPIED_UNCHANGED","a78257046973f7e21aee165e3e66302cb56a771647f2e2ee1fc9c18668f8fd40","a78257046973f7e21aee165e3e66302cb56a771647f2e2ee1fc9c18668f8fd40","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/stan/beta_interval_before.stan","ADDED","","ed5cf0761285718fec900cbb8a4d219621d53b960753e333d98b0b761eb05964","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/stan/beta_interval_probe_after.stan","ADDED","","58fe290b393c0cfdb167bc6117f28c85ed2ea82385444d2edcc626461e84dd63","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/stan/beta_interval_probe_before.stan","ADDED","","feaebe6d936d9e4d006dae7899640754e3b777f017ee98550291c9515d5cee38","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_artifact_guards.R","COPIED_UNCHANGED","1f8f0f652c5b9e87f2b8e87821e94c2c8cd993a98549588d209f3e96e77abaa8","1f8f0f652c5b9e87f2b8e87821e94c2c8cd993a98549588d209f3e96e77abaa8","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_beta_intervals.R","ADDED","","9707413f23ad479466ba2c87512213993f7dca98ee5a340856c128224a7e1bb7","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_beta_switches.R","ADDED","","df7c7868228b00f64d85e10145538bc5056b71a11abeb63b3f2920a0aed6d170","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_binary_template_key.R","ADDED","","b4c359d14091a56c7a1b55d5eaf685f028c1f9da1e0116791c78b80ac6b5eb28","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_contracts.R","COPIED_UNCHANGED","6a60c0d19fff2a46deb55f315eb67f7bf66d7be26e0b1e52760b136ac23388e6","6a60c0d19fff2a46deb55f315eb67f7bf66d7be26e0b1e52760b136ac23388e6","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_input_support_counts.R","ADDED","","5e2f5843a59c9a94e4d5f304aca1386f2ce7801244490b8959a7de8c804d5c9e","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_integration.R","COPIED_UNCHANGED","8b2bce823041a9435107e1bb9e33300b313791616cb0718cec0011d1e0c2b36d","8b2bce823041a9435107e1bb9e33300b313791616cb0718cec0011d1e0c2b36d","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_orchestration.R","COPIED_UNCHANGED","bcd5ab69dfc1deeca266d1e6608539db000fcbc7b1641843fe29042be29d54e0","bcd5ab69dfc1deeca266d1e6608539db000fcbc7b1641843fe29042be29d54e0","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_prediction_audit.R","ADDED","","4d6432834672ebda1c00caf015706968592e0cc242ea1e6bce7539f7f14409f4","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_quantitative_artifacts.R","ADDED","","6f707829602da8a66e1e183440d3f133c1690bb0f7b6289c25c71791d7d00c26","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_quantitative_diagnostics.R","ADDED","","df8498654a63806009ffcc968ae64e5f4471c2f165f2bd44f2afa6ca65ccf7cf","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_release_regressions.R","COPIED_UNCHANGED","84b6a5a952a9d5d7de0fb3fb27f2f74d8ea4b65c6987a371a5eb6289d099a874","84b6a5a952a9d5d7de0fb3fb27f2f74d8ea4b65c6987a371a5eb6289d099a874","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_scientific_contracts.R","COPIED_UNCHANGED","aae3dd03d118a89585b1c8a3144f1b8a49ec1680b1e7367eb8533f82d2515816","aae3dd03d118a89585b1c8a3144f1b8a49ec1680b1e7367eb8533f82d2515816","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_unequal_integration.R","ADDED","","a16d9dd0d64636bc8ec1ab00218cf20ab0c0e7e01fd1717f6053a2df936db8bc","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_unequal_posterior_audit.R","ADDED","","9bdfb181ef96f95dc2a920dcb0c9e71632bfea82e72b9d2106bd237b06f83de8","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_v32_fullgrid_synthetic.R","ADDED","","a92910e3306d8725a2103843a1e0071a15cd56e9faa7a2ba04a6f8c856168fa1","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_v32_metrics.R","ADDED","","00297e0f54b5837e558534c07995f91c3727c547d971a5bd1b3c5a2d20cc571f","Scoped regression/synthetic fixture or numerical probe; evidence in validation report"
"tests/test_visual_report.R","COPIED_UNCHANGED","dea29440b0747fcb4f0307134436f9053d7d8babb27b8f027eb21c4f1cdfaa34","dea29440b0747fcb4f0307134436f9053d7d8babb27b8f027eb21c4f1cdfaa34","Retained v3.1 implementation/fixture; see executed test inventory"
"tests/test_weighted_posterior.R","COPIED_UNCHANGED","3a0875ac01c4416623711d20939fedc9b481a50cf80bce0f0fdc07117d106812","3a0875ac01c4416623711d20939fedc9b481a50cf80bce0f0fdc07117d106812","Retained v3.1 implementation/fixture; see executed test inventory"
