"id","a","b","lo","hi"
"grid_36",0.05,200,0.001,0.01
"grid_37",0.2,200,0.001,0.01
"grid_38",1,200,0.001,0.01
"grid_39",5,200,0.001,0.01
"grid_40",50,200,0.001,0.01
"grid_41",200,200,0.001,0.01
"grid_42",1000,200,0.001,0.01
"grid_43",0.05,1000,0.001,0.01
"grid_44",0.2,1000,0.001,0.01
"grid_45",1,1000,0.001,0.01
"grid_46",5,1000,0.001,0.01
"grid_47",50,1000,0.001,0.01
"grid_48",200,1000,0.001,0.01
"grid_49",1000,1000,0.001,0.01
"grid_50",0.05,0.05,0.05,0.15
"grid_51",0.2,0.05,0.05,0.15
"grid_52",1,0.05,0.05,0.15
"grid_53",5,0.05,0.05,0.15
"grid_54",50,0.05,0.05,0.15
"grid_55",200,0.05,0.05,0.15
"grid_56",1000,0.05,0.05,0.15
"grid_57",0.05,0.2,0.05,0.15
"grid_58",0.2,0.2,0.05,0.15
"grid_59",1,0.2,0.05,0.15
"grid_60",5,0.2,0.05,0.15
"grid_61",50,0.2,0.05,0.15
"grid_62",200,0.2,0.05,0.15
"grid_63",1000,0.2,0.05,0.15
"grid_64",0.05,1,0.05,0.15
"grid_65",0.2,1,0.05,0.15
"grid_66",1,1,0.05,0.15
"grid_67",5,1,0.05,0.15
"grid_68",50,1,0.05,0.15
"grid_69",200,1,0.05,0.15
"grid_70",1000,1,0.05,0.15
"grid_71",0.05,5,0.05,0.15
"grid_72",0.2,5,0.05,0.15
"grid_73",1,5,0.05,0.15
"grid_74",5,5,0.05,0.15
"grid_75",50,5,0.05,0.15
"grid_76",200,5,0.05,0.15
"grid_77",1000,5,0.05,0.15
"grid_78",0.05,50,0.05,0.15
"grid_79",0.2,50,0.05,0.15
"grid_80",1,50,0.05,0.15
"grid_81",5,50,0.05,0.15
"grid_82",50,50,0.05,0.15
"grid_83",200,50,0.05,0.15
"grid_84",1000,50,0.05,0.15
"grid_85",0.05,200,0.05,0.15
"grid_86",0.2,200,0.05,0.15
"grid_87",1,200,0.05,0.15
"grid_88",5,200,0.05,0.15
"grid_89",50,200,0.05,0.15
"grid_90",200,200,0.05,0.15
"grid_91",1000,200,0.05,0.15
"grid_92",0.05,1000,0.05,0.15
"grid_93",0.2,1000,0.05,0.15
"grid_94",1,1000,0.05,0.15
"grid_95",5,1000,0.05,0.15
"grid_96",50,1000,0.05,0.15
"grid_97",200,1000,0.05,0.15
"grid_98",1000,1000,0.05,0.15
"grid_99",0.05,0.05,0.4,0.5
"grid_100",0.2,0.05,0.4,0.5
"grid_101",1,0.05,0.4,0.5
"grid_102",5,0.05,0.4,0.5
"grid_103",50,0.05,0.4,0.5
"grid_104",200,0.05,0.4,0.5
"grid_105",1000,0.05,0.4,0.5
"grid_106",0.05,0.2,0.4,0.5
"grid_107",0.2,0.2,0.4,0.5
"grid_108",1,0.2,0.4,0.5
"grid_109",5,0.2,0.4,0.5
"grid_110",50,0.2,0.4,0.5
"grid_111",200,0.2,0.4,0.5
"grid_112",1000,0.2,0.4,0.5
"grid_113",0.05,1,0.4,0.5
"grid_114",0.2,1,0.4,0.5
"grid_115",1,1,0.4,0.5
"grid_116",5,1,0.4,0.5
"grid_117",50,1,0.4,0.5
"grid_118",200,1,0.4,0.5
"grid_119",1000,1,0.4,0.5
"grid_120",0.05,5,0.4,0.5
"grid_121",0.2,5,0.4,0.5
"grid_122",1,5,0.4,0.5
"grid_123",5,5,0.4,0.5
"grid_124",50,5,0.4,0.5
"grid_125",200,5,0.4,0.5
"grid_126",1000,5,0.4,0.5
"grid_127",0.05,50,0.4,0.5
"grid_128",0.2,50,0.4,0.5
"grid_129",1,50,0.4,0.5
"grid_130",5,50,0.4,0.5
"grid_131",50,50,0.4,0.5
"grid_132",200,50,0.4,0.5
"grid_133",1000,50,0.4,0.5
"grid_134",0.05,200,0.4,0.5
"grid_135",0.2,200,0.4,0.5
"grid_136",1,200,0.4,0.5
"grid_137",5,200,0.4,0.5
"grid_138",50,200,0.4,0.5
"grid_139",200,200,0.4,0.5
"grid_140",1000,200,0.4,0.5
"grid_141",0.05,1000,0.4,0.5
"grid_142",0.2,1000,0.4,0.5
"grid_143",1,1000,0.4,0.5
"grid_144",5,1000,0.4,0.5
"grid_145",50,1000,0.4,0.5
"grid_146",200,1000,0.4,0.5
"grid_147",1000,1000,0.4,0.5
"grid_148",0.05,0.05,0.7,0.9
"grid_149",0.2,0.05,0.7,0.9
"grid_150",1,0.05,0.7,0.9
"grid_151",5,0.05,0.7,0.9
"grid_152",50,0.05,0.7,0.9
"grid_153",200,0.05,0.7,0.9
"grid_154",1000,0.05,0.7,0.9
"grid_155",0.05,0.2,0.7,0.9
"grid_156",0.2,0.2,0.7,0.9
"grid_157",1,0.2,0.7,0.9
"grid_158",5,0.2,0.7,0.9
"grid_159",50,0.2,0.7,0.9
"grid_160",200,0.2,0.7,0.9
"grid_161",1000,0.2,0.7,0.9
"grid_162",0.05,1,0.7,0.9
"grid_163",0.2,1,0.7,0.9
"grid_164",1,1,0.7,0.9
"grid_165",5,1,0.7,0.9
"grid_166",50,1,0.7,0.9
"grid_167",200,1,0.7,0.9
"grid_168",1000,1,0.7,0.9
"grid_169",0.05,5,0.7,0.9
"grid_170",0.2,5,0.7,0.9
"grid_171",1,5,0.7,0.9
"grid_172",5,5,0.7,0.9
"grid_173",50,5,0.7,0.9
"grid_174",200,5,0.7,0.9
"grid_175",1000,5,0.7,0.9
"grid_176",0.05,50,0.7,0.9
"grid_177",0.2,50,0.7,0.9
"grid_178",1,50,0.7,0.9
"grid_179",5,50,0.7,0.9
"grid_180",50,50,0.7,0.9
"grid_181",200,50,0.7,0.9
"grid_182",1000,50,0.7,0.9
"grid_183",0.05,200,0.7,0.9
"grid_184",0.2,200,0.7,0.9
"grid_185",1,200,0.7,0.9
"grid_186",5,200,0.7,0.9
"grid_187",50,200,0.7,0.9
"grid_188",200,200,0.7,0.9
"grid_189",1000,200,0.7,0.9
"grid_190",0.05,1000,0.7,0.9
"grid_191",0.2,1000,0.7,0.9
"grid_192",1,1000,0.7,0.9
"grid_193",5,1000,0.7,0.9
"grid_194",50,1000,0.7,0.9
"grid_195",200,1000,0.7,0.9
"grid_196",1000,1000,0.7,0.9
"grid_197",0.05,0.05,0.95,0.999
"grid_198",0.2,0.05,0.95,0.999
"grid_199",1,0.05,0.95,0.999
"grid_200",5,0.05,0.95,0.999
"grid_201",50,0.05,0.95,0.999
"grid_202",200,0.05,0.95,0.999
"grid_203",1000,0.05,0.95,0.999
"grid_204",0.05,0.2,0.95,0.999
"grid_205",0.2,0.2,0.95,0.999
"grid_206",1,0.2,0.95,0.999
"grid_207",5,0.2,0.95,0.999
"grid_208",50,0.2,0.95,0.999
"grid_209",200,0.2,0.95,0.999
"grid_210",1000,0.2,0.95,0.999
"grid_211",0.05,1,0.95,0.999
"grid_212",0.2,1,0.95,0.999
"grid_213",1,1,0.95,0.999
"grid_214",5,1,0.95,0.999
"grid_215",50,1,0.95,0.999
"grid_216",200,1,0.95,0.999
"grid_217",1000,1,0.95,0.999
"grid_218",0.05,5,0.95,0.999
"grid_219",0.2,5,0.95,0.999
"grid_220",1,5,0.95,0.999
"grid_221",5,5,0.95,0.999
"grid_222",50,5,0.95,0.999
"grid_223",200,5,0.95,0.999
"grid_224",1000,5,0.95,0.999
"grid_225",0.05,50,0.95,0.999
"grid_226",0.2,50,0.95,0.999
"grid_227",1,50,0.95,0.999
"grid_228",5,50,0.95,0.999
"grid_229",50,50,0.95,0.999
"grid_230",200,50,0.95,0.999
"grid_231",1000,50,0.95,0.999
"grid_232",0.05,200,0.95,0.999
"grid_233",0.2,200,0.95,0.999
"grid_234",1,200,0.95,0.999
"grid_235",5,200,0.95,0.999
"grid_236",50,200,0.95,0.999
"grid_237",200,200,0.95,0.999
"grid_238",1000,200,0.95,0.999
"grid_239",0.05,1000,0.95,0.999
"grid_240",0.2,1000,0.95,0.999
"grid_241",1,1000,0.95,0.999
"grid_242",5,1000,0.95,0.999
"grid_243",50,1000,0.95,0.999
"grid_244",200,1000,0.95,0.999
"grid_245",1000,1000,0.95,0.999
"tiny_u_shape",1e-08,1e-08,0.1,0.9
"tiny_left_shape",1e-07,0.2,0.3,0.4
"tiny_right_shape",0.2,1e-07,0.4,0.5
