"Model","ELPD","ELPD_Difference","PairedSE","Outcome","CVType","FoldKey","ReferenceModel","MCFlaggedFolds","DeltaMethod_MCSE_TotalELPD","MaximumLikelihoodContribution","MinimumEffectiveContributions","AnyModelMCReview","Interpretation"
"Site315_P",-42.8483529302004,0,0,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.5543464650085,0.406618895673529,3.32904142660532,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Phylogeny_only_P",-43.3377211550779,-0.489368224877508,0.538867687900096,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.76935423377735,0.752963626214951,1.71095862222325,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-43.6101185252337,-0.761765595033262,1.02832427140193,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.62448400230192,0.519907379804301,2.6120801863051,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-44.5907595568327,-1.74240662663232,1.4029014982395,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.474309302424894,0.33160099123698,4.62206590994083,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_P",-45.4043991026873,-2.5560461724869,2.85261686683345,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.347460864418986,0.271543806205407,9.19686888161235,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-59.4827284999807,-16.6343755697803,8.18236981423606,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.658083123451795,0.637700449645531,2.35201640798251,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-60.2583048016086,-17.4099518714082,10.187837619842,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",2,0.491708260518259,0.456626535616931,4.32311919947825,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-61.3076836163991,-18.4593306861987,10.2516045198204,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.260112400675212,0.134892180179803,15.6284665227998,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-63.3444656134139,-20.4961126832136,10.8205714517673,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.291038255034701,0.090056486654983,21.7518209467797,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-89.9371706142938,-47.0888176840934,22.9646772439038,"binary","phylo_distance","cd7101959d19fbbaef6a1daab9fd30e0f6efdb59ee4bb88d31294b510ff5881d","Site315_P",1,0.992179539127114,0.675998638753387,1.9377584426419,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_P",-369.026277613168,0,0,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.85660852922684,0.999999438718957,1.00000112256272,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-398.170905952377,-29.1446283392088,33.0598426552628,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.66761123926085,0.973082013237251,1.05529554388971,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Phylogeny_only_P",-403.617086601438,-34.5908089882697,27.9278819226317,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.86744833513187,0.98787785781737,1.02466883766388,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_P",-404.592298398517,-35.5660207853487,39.788467258228,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.82886240373035,0.999782895506661,1.0004343135833,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-407.205035756545,-38.1787581433771,22.5553512921472,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",5,1.47627327143438,0.959040218013653,1.08598941169692,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-726.350087703554,-357.323810090386,124.233579529011,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",4,1.39778619628735,0.990698617836345,1.01877588182853,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-733.552708233313,-364.526430620145,173.672618238918,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",3,0.77206047749337,0.520516763014847,2.98855860021906,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-743.516631032933,-374.490353419765,174.469917259747,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",4,1.18335376313328,0.966010604897428,1.07089178685144,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-925.157164118967,-556.130886505799,286.239045492157,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",3,0.663765429303107,0.392266236792301,3.76702572419635,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-1173.24390728331,-804.217629670142,284.270415907684,"joint","species","7b6f5fa034adcbd25915f29e81671e0d2b1679b33de0b15cd495f40c8d1cb5aa","M1_P",2,0.539700917828859,0.30379572537373,4.28857126744431,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_P",-494.471023976106,0,0,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.1041308213063,0.999999998832979,1.00000000233404,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_P",-522.134726956511,-27.6637029804053,27.8265696905355,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.12083086831034,1,1,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_P",-581.088511291102,-86.617487314996,85.9768432629503,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.05638637742745,0.999999999883689,1.00000000023262,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_P",-618.001516332325,-123.530492356219,123.43742099094,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.10897245789926,0.99999999973697,1.00000000052606,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Phylogeny_only_P",-621.97243794827,-127.501413972164,127.605376765345,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.19504285898374,0.999999999846987,1.00000000030603,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M3_U",-814.763761128615,-320.292737152509,233.293681285786,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.33668961970732,0.999999999617065,1.00000000076587,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M2_U",-951.862900750615,-457.391876774509,350.958566908148,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.19829558179062,0.999999999999998,1,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"M1_U",-974.237538612627,-479.766514636521,358.811257682921,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.4152100102612,0.999999999993477,1.00000000001305,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Site315_U",-1079.49747186402,-585.026447887916,441.685477935775,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",2,1.0728382943396,0.98977910978009,1.02070503935657,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
"Null_U",-2816.52689668427,-2322.05587270817,1878.57310936009,"joint","phylo_distance","fc3673933fd716c62b80ab78865fe254a480128d28a7a6af99a0848441c061d2","Site315_P",3,1.38491790373971,0.955723538935384,1.09245693806942,TRUE,"FINITE_DRAW_JOINT_SCORE_WITH_MC_REVIEW_NO_DEFINITIVE_RANK"
