"Species","Route","Model","TrainWeighting","Point","PosteriorMedian","CrI_lower","CrI_upper","PI_lower","PI_upper","HasResponseData","AnyMissingPredictorSite","UnseenEncodedCategory","AnyMissingInputSite","UnseenRawResidue","CombinationSeenInTraining","FixedEffectEstimable","Site151OutsideTrainingDomain","ApplicabilityStatus","WarningCodes","PredictionTarget","TestOnly"
"synthetic_11","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_12","binary","Null","record_equal",0.497190605510294,0.495883518122988,0.347455580335338,0.641299925357403,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
"synthetic_01","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_02","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_03","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_04","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_05","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_06","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_07","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_08","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_09","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_10","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_11","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_12","joint_bb","Null","record_equal",0.512580538442535,0.51274271996553,0.468057011492033,0.559214730249776,0.1243395807654,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_01","binary","M1","record_equal",0.523971473178649,0.525214580264752,0.195868360717441,0.849289499060145,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_02","binary","M1","record_equal",0.523971473178649,0.525214580264752,0.195868360717441,0.849289499060145,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_03","binary","M1","record_equal",0.523971473178649,0.525214580264752,0.195868360717441,0.849289499060145,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_04","binary","M1","record_equal",0.523971473178649,0.525214580264752,0.195868360717441,0.849289499060145,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_05","binary","M1","record_equal",0.490363752672345,0.493269581490796,0.232270938244026,0.745655311311817,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_06","binary","M1","record_equal",0.490363752672345,0.493269581490796,0.232270938244026,0.745655311311817,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_07","binary","M1","record_equal",0.479995626320767,0.481099971393667,0.322363700252942,0.646057594245697,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_08","binary","M1","record_equal",0.479995626320767,0.481099971393667,0.322363700252942,0.646057594245697,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_09","binary","M1","record_equal",0.482835959434045,0.486689931890704,0.246210056412575,0.714568697374387,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_10","binary","M1","record_equal",0.479995626320767,0.481099971393667,0.322363700252942,0.646057594245697,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_11","binary","M1","record_equal",0.545474554731475,0.543036559416064,0.312149855726657,0.768797809130527,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_12","binary","M1","record_equal",0.479995626320767,0.481099971393667,0.322363700252942,0.646057594245697,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"unlabelled_projection","unseen_raw_residue","Pr_HIGH",TRUE
"synthetic_01","joint_bb","M1","record_equal",0.514479954153274,0.501771774721516,0.202566623700161,0.836770679944311,0.0611695603579509,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_02","joint_bb","M1","record_equal",0.514479954153274,0.501771774721516,0.202566623700161,0.836770679944311,0.0611695603579509,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_03","joint_bb","M1","record_equal",0.514479954153274,0.501771774721516,0.202566623700161,0.836770679944311,0.0611695603579509,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_04","joint_bb","M1","record_equal",0.514479954153274,0.501771774721516,0.202566623700161,0.836770679944311,0.0611695603579509,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_05","joint_bb","M1","record_equal",0.50344496250726,0.493258906253217,0.287881309860292,0.734685129977543,0.0945743066349827,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_06","joint_bb","M1","record_equal",0.50344496250726,0.493258906253217,0.287881309860292,0.734685129977543,0.0945743066349827,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_07","joint_bb","M1","record_equal",0.505637931416108,0.504702629632416,0.446896773835891,0.564170399256149,0.126951555549641,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_08","joint_bb","M1","record_equal",0.505637931416108,0.504702629632416,0.446896773835891,0.564170399256149,0.126951555549641,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_09","joint_bb","M1","record_equal",0.507101330462803,0.507480305665444,0.376981108312567,0.61285309177111,0.120255368123029,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_10","joint_bb","M1","record_equal",0.505637931416108,0.504702629632416,0.446896773835891,0.564170399256149,0.126951555549641,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_11","joint_bb","M1","record_equal",0.530415836317766,0.531732286480069,0.43370393567118,0.629575148323126,0.144887776767351,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_12","joint_bb","M1","record_equal",0.505637931416108,0.504702629632416,0.446896773835891,0.564170399256149,0.126951555549641,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_01","binary","M2","record_equal",0.48988101356995,0.491776214106639,0.177154251805952,0.814618979759853,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_02","binary","M2","record_equal",0.48988101356995,0.491776214106639,0.177154251805952,0.814618979759853,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_03","binary","M2","record_equal",0.48988101356995,0.491776214106639,0.177154251805952,0.814618979759853,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_04","binary","M2","record_equal",0.48988101356995,0.491776214106639,0.177154251805952,0.814618979759853,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_05","binary","M2","record_equal",0.492201534799594,0.491230271817825,0.218108293151335,0.752861344125551,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_06","binary","M2","record_equal",0.492201534799594,0.491230271817825,0.218108293151335,0.752861344125551,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_07","binary","M2","record_equal",0.489988956678583,0.492084716352508,0.323861931020508,0.661559363942128,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_08","binary","M2","record_equal",0.489988956678583,0.492084716352508,0.323861931020508,0.661559363942128,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_09","binary","M2","record_equal",0.489946165262955,0.489773042586923,0.229174158039351,0.723661803886383,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_10","binary","M2","record_equal",0.489988956678583,0.492084716352508,0.323861931020508,0.661559363942128,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_11","binary","M2","record_equal",0.533883053566359,0.53708180183388,0.31664731606213,0.737212846938007,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_12","binary","M2","record_equal",0.493228915316555,0.492941732141237,0.236858114106175,0.778231556895091,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_01","joint_bb","M2","record_equal",0.493083864199181,0.500827874836223,0.176733314327482,0.805182877852006,0.0473805591736609,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_02","joint_bb","M2","record_equal",0.493083864199181,0.500827874836223,0.176733314327482,0.805182877852006,0.0473805591736609,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_03","joint_bb","M2","record_equal",0.493083864199181,0.500827874836223,0.176733314327482,0.805182877852006,0.0473805591736609,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_04","joint_bb","M2","record_equal",0.493083864199181,0.500827874836223,0.176733314327482,0.805182877852006,0.0473805591736609,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_05","joint_bb","M2","record_equal",0.497224169811765,0.494089037858789,0.297316999232201,0.723518615855977,0.0716542680974299,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_06","joint_bb","M2","record_equal",0.497224169811765,0.494089037858789,0.297316999232201,0.723518615855977,0.0716542680974299,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_07","joint_bb","M2","record_equal",0.50072393671673,0.501980891651197,0.427720866923614,0.567139269181266,0.125639480016346,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_08","joint_bb","M2","record_equal",0.50072393671673,0.501980891651197,0.427720866923614,0.567139269181266,0.125639480016346,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_09","joint_bb","M2","record_equal",0.513593077389115,0.516028418312413,0.39476603732408,0.629471302178208,0.119634824052243,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_10","joint_bb","M2","record_equal",0.50072393671673,0.501980891651197,0.427720866923614,0.567139269181266,0.125639480016346,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_11","joint_bb","M2","record_equal",0.527140953085232,0.52486406865094,0.429437955326233,0.629196239831594,0.143334178819108,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_12","joint_bb","M2","record_equal",0.512955608226764,0.515254457600606,0.420927032578951,0.614947985457166,0.125002400236679,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_01","binary","M3","record_equal",0.492210755347755,0.500238046983644,0.125664106769396,0.841071095796052,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_02","binary","M3","record_equal",0.492210755347755,0.500238046983644,0.125664106769396,0.841071095796052,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_03","binary","M3","record_equal",0.492210755347755,0.500238046983644,0.125664106769396,0.841071095796052,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_04","binary","M3","record_equal",0.492210755347755,0.500238046983644,0.125664106769396,0.841071095796052,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_05","binary","M3","record_equal",0.485077891605156,0.482051703922328,0.200894288436302,0.787949992018516,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_06","binary","M3","record_equal",0.485077891605156,0.482051703922328,0.200894288436302,0.787949992018516,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_07","binary","M3","record_equal",0.4782358036213,0.47385361014201,0.286484289708076,0.691161082561204,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_08","binary","M3","record_equal",0.4782358036213,0.47385361014201,0.286484289708076,0.691161082561204,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_09","binary","M3","record_equal",0.496540951858968,0.497529446988927,0.263618986409244,0.718714908744752,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_10","binary","M3","record_equal",0.500377090196499,0.497241782397935,0.304259681716995,0.687898637079563,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","Pr_HIGH",TRUE
"synthetic_11","binary","M3","record_equal",0.535056225520294,0.542613865749222,0.301730749306049,0.733088348578647,,,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","Pr_HIGH",TRUE
"synthetic_12","binary","M3","record_equal",0.497546989307842,0.499055438329138,0.226768697075285,0.760210136120831,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","Pr_HIGH",TRUE
"synthetic_01","joint_bb","M3","record_equal",0.499386032691316,0.495306008153689,0.150087440360271,0.876984351536905,0.0315490657517704,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_02","joint_bb","M3","record_equal",0.499386032691316,0.495306008153689,0.150087440360271,0.876984351536905,0.0315490657517704,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_03","joint_bb","M3","record_equal",0.499386032691316,0.495306008153689,0.150087440360271,0.876984351536905,0.0315490657517704,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_04","joint_bb","M3","record_equal",0.499386032691316,0.495306008153689,0.150087440360271,0.876984351536905,0.0315490657517704,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_05","joint_bb","M3","record_equal",0.496421786361455,0.487586109304502,0.207724693014773,0.777668735888499,0.0689618124433771,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_06","joint_bb","M3","record_equal",0.496421786361455,0.487586109304502,0.207724693014773,0.777668735888499,0.0689618124433771,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"unlabelled_projection","unseen_category;unseen_raw_residue;unseen_combination;fixed_effect_not_estimable","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_07","joint_bb","M3","record_equal",0.501191529440727,0.498716242164526,0.407000979309487,0.594183214141218,0.133313432443924,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_08","joint_bb","M3","record_equal",0.501191529440727,0.498716242164526,0.407000979309487,0.594183214141218,0.133313432443924,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_09","joint_bb","M3","record_equal",0.508770214626783,0.508184934946665,0.367457109937163,0.621687480057742,0.121676597294675,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_10","joint_bb","M3","record_equal",0.509746365062082,0.510171644555932,0.423013302246874,0.605670644747462,0.117842990672339,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_11","joint_bb","M3","record_equal",0.531547547425048,0.529941382283795,0.433540007177766,0.646127811775505,0.127494965541806,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"review_required","missing_predictor","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_12","joint_bb","M3","record_equal",0.517184495272206,0.520049516519715,0.40817898581035,0.614419998980782,0.121759399898673,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"supported","","mean_ratio_and_future_exact_report_PI",TRUE
"synthetic_01","binary","Null","species_equal",0.499007327912378,0.500317513983286,0.357410459909966,0.634148334485985,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"unlabelled_projection","","Pr_HIGH",TRUE
