"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.5,1,1,"record_equal","fivefold","M2","record_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M2","record_equal",4,0.5
0.5,1,1,"record_equal","fivefold","M2","record_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M2","record_equal",5,0.5
0.5,1,1,"record_equal","fivefold","M2","record_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M2","species_equal",1,0.5
0.5,1,1,"record_equal","fivefold","M2","species_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M2","species_equal",2,0.5
0.5,1,1,"record_equal","fivefold","M2","species_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M2","species_equal",3,0.5
0.5,1,1,"record_equal","fivefold","M2","species_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M2","species_equal",4,0.5
0.5,1,1,"record_equal","fivefold","M2","species_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M2","species_equal",5,0.5
0.5,1,1,"record_equal","fivefold","M2","species_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M3","record_equal",1,0.5
0.55,1,1,"record_equal","fivefold","M3","record_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M3","record_equal",2,0.5
0.55,1,1,"record_equal","fivefold","M3","record_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M3","record_equal",3,0.5
0.55,1,1,"record_equal","fivefold","M3","record_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M3","record_equal",4,0.5
0.55,1,1,"record_equal","fivefold","M3","record_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M3","record_equal",5,0.5
0.55,1,1,"record_equal","fivefold","M3","record_equal",5,0.5
Inf,0,0,"record_equal","fivefold","M3","species_equal",1,0.5
0.55,1,1,"record_equal","fivefold","M3","species_equal",1,0.5
Inf,0,0,"record_equal","fivefold","M3","species_equal",2,0.5
0.55,1,1,"record_equal","fivefold","M3","species_equal",2,0.5
Inf,0,0,"record_equal","fivefold","M3","species_equal",3,0.5
0.55,1,1,"record_equal","fivefold","M3","species_equal",3,0.5
Inf,0,0,"record_equal","fivefold","M3","species_equal",4,0.5
0.55,1,1,"record_equal","fivefold","M3","species_equal",4,0.5
Inf,0,0,"record_equal","fivefold","M3","species_equal",5,0.5
0.55,1,1,"record_equal","fivefold","M3","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",1,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",1,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",2,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",2,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",3,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",3,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",4,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",4,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",5,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",5,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",6,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",6,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",7,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",7,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",8,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",8,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",9,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",9,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",10,0.5
0.4,1,1,"record_equal","tenfold","Null","record_equal",10,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",1,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",1,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",2,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",2,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",3,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",3,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",4,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",4,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",5,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",6,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",6,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",7,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",7,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",8,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",8,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",9,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",9,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",10,0.5
0.4,1,1,"record_equal","tenfold","Null","species_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",1,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",2,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",3,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",4,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",5,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",6,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",7,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",8,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",9,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",10,0.5
0.45,1,1,"record_equal","tenfold","M1","record_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",1,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",2,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",3,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",4,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",5,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",6,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",7,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",8,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",9,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M1","species_equal",10,0.5
0.45,1,1,"record_equal","tenfold","M1","species_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",1,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",2,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",3,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",4,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",5,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",6,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",7,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",8,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",9,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M2","record_equal",10,0.5
0.5,1,1,"record_equal","tenfold","M2","record_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",1,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",2,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",3,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",4,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",5,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",6,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",7,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",8,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",9,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M2","species_equal",10,0.5
0.5,1,1,"record_equal","tenfold","M2","species_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",1,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",2,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",3,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",4,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",5,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",6,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",7,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",8,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",9,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M3","record_equal",10,0.5
0.55,1,1,"record_equal","tenfold","M3","record_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",1,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",1,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",2,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",2,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",3,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",3,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",4,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",4,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",5,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",6,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",6,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",7,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",7,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",8,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",8,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",9,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",9,0.5
Inf,0,0,"record_equal","tenfold","M3","species_equal",10,0.5
0.55,1,1,"record_equal","tenfold","M3","species_equal",10,0.5
Inf,0,0,"species_equal","fivefold","Null","record_equal",1,0.5
0.4,1,1,"species_equal","fivefold","Null","record_equal",1,0.5
Inf,0,0,"species_equal","fivefold","Null","record_equal",2,0.5
0.4,1,1,"species_equal","fivefold","Null","record_equal",2,0.5
Inf,0,0,"species_equal","fivefold","Null","record_equal",3,0.5
0.4,1,1,"species_equal","fivefold","Null","record_equal",3,0.5
Inf,0,0,"species_equal","fivefold","Null","record_equal",4,0.5
0.4,1,1,"species_equal","fivefold","Null","record_equal",4,0.5
Inf,0,0,"species_equal","fivefold","Null","record_equal",5,0.5
0.4,1,1,"species_equal","fivefold","Null","record_equal",5,0.5
Inf,0,0,"species_equal","fivefold","Null","species_equal",1,0.5
0.4,1,1,"species_equal","fivefold","Null","species_equal",1,0.5
Inf,0,0,"species_equal","fivefold","Null","species_equal",2,0.5
0.4,1,1,"species_equal","fivefold","Null","species_equal",2,0.5
Inf,0,0,"species_equal","fivefold","Null","species_equal",3,0.5
0.4,1,1,"species_equal","fivefold","Null","species_equal",3,0.5
Inf,0,0,"species_equal","fivefold","Null","species_equal",4,0.5
0.4,1,1,"species_equal","fivefold","Null","species_equal",4,0.5
Inf,0,0,"species_equal","fivefold","Null","species_equal",5,0.5
0.4,1,1,"species_equal","fivefold","Null","species_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M1","record_equal",1,0.5
0.45,1,1,"species_equal","fivefold","M1","record_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M1","record_equal",2,0.5
0.45,1,1,"species_equal","fivefold","M1","record_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M1","record_equal",3,0.5
0.45,1,1,"species_equal","fivefold","M1","record_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M1","record_equal",4,0.5
0.45,1,1,"species_equal","fivefold","M1","record_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M1","record_equal",5,0.5
0.45,1,1,"species_equal","fivefold","M1","record_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M1","species_equal",1,0.5
0.45,1,1,"species_equal","fivefold","M1","species_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M1","species_equal",2,0.5
0.45,1,1,"species_equal","fivefold","M1","species_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M1","species_equal",3,0.5
0.45,1,1,"species_equal","fivefold","M1","species_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M1","species_equal",4,0.5
0.45,1,1,"species_equal","fivefold","M1","species_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M1","species_equal",5,0.5
0.45,1,1,"species_equal","fivefold","M1","species_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M2","record_equal",1,0.5
0.5,1,1,"species_equal","fivefold","M2","record_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M2","record_equal",2,0.5
0.5,1,1,"species_equal","fivefold","M2","record_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M2","record_equal",3,0.5
0.5,1,1,"species_equal","fivefold","M2","record_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M2","record_equal",4,0.5
0.5,1,1,"species_equal","fivefold","M2","record_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M2","record_equal",5,0.5
0.5,1,1,"species_equal","fivefold","M2","record_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M2","species_equal",1,0.5
0.5,1,1,"species_equal","fivefold","M2","species_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M2","species_equal",2,0.5
0.5,1,1,"species_equal","fivefold","M2","species_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M2","species_equal",3,0.5
0.5,1,1,"species_equal","fivefold","M2","species_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M2","species_equal",4,0.5
0.5,1,1,"species_equal","fivefold","M2","species_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M2","species_equal",5,0.5
0.5,1,1,"species_equal","fivefold","M2","species_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M3","record_equal",1,0.5
0.55,1,1,"species_equal","fivefold","M3","record_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M3","record_equal",2,0.5
0.55,1,1,"species_equal","fivefold","M3","record_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M3","record_equal",3,0.5
0.55,1,1,"species_equal","fivefold","M3","record_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M3","record_equal",4,0.5
0.55,1,1,"species_equal","fivefold","M3","record_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M3","record_equal",5,0.5
0.55,1,1,"species_equal","fivefold","M3","record_equal",5,0.5
Inf,0,0,"species_equal","fivefold","M3","species_equal",1,0.5
0.55,1,1,"species_equal","fivefold","M3","species_equal",1,0.5
Inf,0,0,"species_equal","fivefold","M3","species_equal",2,0.5
0.55,1,1,"species_equal","fivefold","M3","species_equal",2,0.5
Inf,0,0,"species_equal","fivefold","M3","species_equal",3,0.5
0.55,1,1,"species_equal","fivefold","M3","species_equal",3,0.5
Inf,0,0,"species_equal","fivefold","M3","species_equal",4,0.5
0.55,1,1,"species_equal","fivefold","M3","species_equal",4,0.5
Inf,0,0,"species_equal","fivefold","M3","species_equal",5,0.5
0.55,1,1,"species_equal","fivefold","M3","species_equal",5,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",1,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",1,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",2,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",2,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",3,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",3,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",4,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",4,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",5,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",5,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",6,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",6,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",7,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",7,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",8,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",8,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",9,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",9,0.5
Inf,0,0,"species_equal","tenfold","Null","record_equal",10,0.5
0.4,1,1,"species_equal","tenfold","Null","record_equal",10,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",1,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",1,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",2,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",2,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",3,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",3,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",4,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",4,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",5,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",5,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",6,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",6,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",7,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",7,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",8,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",8,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",9,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",9,0.5
Inf,0,0,"species_equal","tenfold","Null","species_equal",10,0.5
0.4,1,1,"species_equal","tenfold","Null","species_equal",10,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",1,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",1,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",2,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",2,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",3,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",3,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",4,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",4,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",5,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",5,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",6,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",6,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",7,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",7,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",8,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",8,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",9,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",9,0.5
Inf,0,0,"species_equal","tenfold","M1","record_equal",10,0.5
0.45,1,1,"species_equal","tenfold","M1","record_equal",10,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",1,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",1,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",2,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",2,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",3,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",3,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",4,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",4,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",5,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",5,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",6,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",6,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",7,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",7,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",8,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",8,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",9,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",9,0.5
Inf,0,0,"species_equal","tenfold","M1","species_equal",10,0.5
0.45,1,1,"species_equal","tenfold","M1","species_equal",10,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",1,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",1,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",2,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",2,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",3,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",3,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",4,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",4,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",5,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",5,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",6,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",6,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",7,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",7,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",8,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",8,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",9,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",9,0.5
Inf,0,0,"species_equal","tenfold","M2","record_equal",10,0.5
0.5,1,1,"species_equal","tenfold","M2","record_equal",10,0.5
Inf,0,0,"species_equal","tenfold","M2","species_equal",1,0.5
