"RecordID","ExperimentID","Species","Type","Events","Total","Exact","Lower","Upper","SourceID"
"SYN_4_2","SYNEXP_4_2","synthetic_04","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_3","SYNEXP_4_3","synthetic_04","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_4","SYNEXP_4_4","synthetic_04","count",6,7,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_5","SYNEXP_4_5","synthetic_04","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_6","SYNEXP_4_6","synthetic_04","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_4_7","SYNEXP_4_7","synthetic_04","count",4,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_1","SYNEXP_5_1","synthetic_05","count",8,12,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_2","SYNEXP_5_2","synthetic_05","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_3","SYNEXP_5_3","synthetic_05","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_4","SYNEXP_5_4","synthetic_05","count",1,8,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_5","SYNEXP_5_5","synthetic_05","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_6","SYNEXP_5_6","synthetic_05","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_7","SYNEXP_5_7","synthetic_05","count",9,11,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_5_8","SYNEXP_5_8","synthetic_05","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_1","SYNEXP_6_1","synthetic_06","count",2,6,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_2","SYNEXP_6_2","synthetic_06","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_3","SYNEXP_6_3","synthetic_06","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_4","SYNEXP_6_4","synthetic_06","count",6,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_5","SYNEXP_6_5","synthetic_06","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_6","SYNEXP_6_6","synthetic_06","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_7","SYNEXP_6_7","synthetic_06","count",2,12,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_8","SYNEXP_6_8","synthetic_06","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_6_9","SYNEXP_6_9","synthetic_06","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_1","SYNEXP_7_1","synthetic_07","count",6,7,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_2","SYNEXP_7_2","synthetic_07","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_3","SYNEXP_7_3","synthetic_07","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_4","SYNEXP_7_4","synthetic_07","count",4,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_5","SYNEXP_7_5","synthetic_07","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_6","SYNEXP_7_6","synthetic_07","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_7","SYNEXP_7_7","synthetic_07","count",4,6,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_8","SYNEXP_7_8","synthetic_07","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_9","SYNEXP_7_9","synthetic_07","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_7_10","SYNEXP_7_10","synthetic_07","count",1,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_1","SYNEXP_8_1","synthetic_08","count",1,8,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_2","SYNEXP_8_2","synthetic_08","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_3","SYNEXP_8_3","synthetic_08","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_4","SYNEXP_8_4","synthetic_08","count",9,11,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_5","SYNEXP_8_5","synthetic_08","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_6","SYNEXP_8_6","synthetic_08","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_7","SYNEXP_8_7","synthetic_08","count",2,7,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_8","SYNEXP_8_8","synthetic_08","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_9","SYNEXP_8_9","synthetic_08","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_10","SYNEXP_8_10","synthetic_08","count",6,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_8_11","SYNEXP_8_11","synthetic_08","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_1","SYNEXP_9_1","synthetic_09","count",6,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_2","SYNEXP_9_2","synthetic_09","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_3","SYNEXP_9_3","synthetic_09","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_4","SYNEXP_9_4","synthetic_09","count",2,12,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_5","SYNEXP_9_5","synthetic_09","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_6","SYNEXP_9_6","synthetic_09","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_7","SYNEXP_9_7","synthetic_09","count",7,8,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_8","SYNEXP_9_8","synthetic_09","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_9","SYNEXP_9_9","synthetic_09","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_10","SYNEXP_9_10","synthetic_09","count",4,11,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_11","SYNEXP_9_11","synthetic_09","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_9_12","SYNEXP_9_12","synthetic_09","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_1","SYNEXP_10_1","synthetic_10","count",4,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_2","SYNEXP_10_2","synthetic_10","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_3","SYNEXP_10_3","synthetic_10","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_4","SYNEXP_10_4","synthetic_10","count",4,6,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_5","SYNEXP_10_5","synthetic_10","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_6","SYNEXP_10_6","synthetic_10","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_7","SYNEXP_10_7","synthetic_10","count",1,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_8","SYNEXP_10_8","synthetic_10","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_9","SYNEXP_10_9","synthetic_10","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_10","SYNEXP_10_10","synthetic_10","count",10,12,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_11","SYNEXP_10_11","synthetic_10","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_12","SYNEXP_10_12","synthetic_10","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_10_13","SYNEXP_10_13","synthetic_10","count",3,8,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_1","SYNEXP_11_1","synthetic_11","count",9,11,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_2","SYNEXP_11_2","synthetic_11","exact",,,0.15,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_3","SYNEXP_11_3","synthetic_11","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_4","SYNEXP_11_4","synthetic_11","count",2,7,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_5","SYNEXP_11_5","synthetic_11","exact",,,0.85,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_6","SYNEXP_11_6","synthetic_11","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_7","SYNEXP_11_7","synthetic_11","count",6,10,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_8","SYNEXP_11_8","synthetic_11","exact",,,0.35,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_9","SYNEXP_11_9","synthetic_11","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_10","SYNEXP_11_10","synthetic_11","count",1,6,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_11","SYNEXP_11_11","synthetic_11","exact",,,0.65,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_12","SYNEXP_11_12","synthetic_11","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_13","SYNEXP_11_13","synthetic_11","count",8,9,,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_11_14","SYNEXP_11_14","synthetic_11","exact",,,1,,,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_1","SYNEXP_12_1","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_2","SYNEXP_12_2","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_3","SYNEXP_12_3","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_4","SYNEXP_12_4","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_5","SYNEXP_12_5","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_6","SYNEXP_12_6","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_7","SYNEXP_12_7","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_8","SYNEXP_12_8","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_9","SYNEXP_12_9","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_10","SYNEXP_12_10","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_11","SYNEXP_12_11","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_12","SYNEXP_12_12","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_13","SYNEXP_12_13","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_14","SYNEXP_12_14","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
"SYN_12_15","SYNEXP_12_15","synthetic_12","interval",,,,0.35,0.65,"SYNTHETIC_UNEQUAL_V32"
