"Path","Change","Reason","OldSHA256","NewSHA256"
"tests/stan/beta_interval_before.stan","UNCHANGED","Retained implementation; no new modeling scope","ed5cf0761285718fec900cbb8a4d219621d53b960753e333d98b0b761eb05964","ed5cf0761285718fec900cbb8a4d219621d53b960753e333d98b0b761eb05964"
"tests/stan/beta_interval_probe_after.stan","UNCHANGED","Retained implementation; no new modeling scope","58fe290b393c0cfdb167bc6117f28c85ed2ea82385444d2edcc626461e84dd63","58fe290b393c0cfdb167bc6117f28c85ed2ea82385444d2edcc626461e84dd63"
"tests/stan/beta_interval_probe_before.stan","UNCHANGED","Retained implementation; no new modeling scope","feaebe6d936d9e4d006dae7899640754e3b777f017ee98550291c9515d5cee38","feaebe6d936d9e4d006dae7899640754e3b777f017ee98550291c9515d5cee38"
"tests/test_artifact_guards.R","UNCHANGED","Retained implementation; no new modeling scope","1f8f0f652c5b9e87f2b8e87821e94c2c8cd993a98549588d209f3e96e77abaa8","1f8f0f652c5b9e87f2b8e87821e94c2c8cd993a98549588d209f3e96e77abaa8"
"tests/test_audit_beta_reference.R","UNCHANGED","Retained implementation; no new modeling scope","1fa73da530c7464c1d4742e81d2acc2d0117d93baaee0ae81b38b81c2030aa89","1fa73da530c7464c1d4742e81d2acc2d0117d93baaee0ae81b38b81c2030aa89"
"tests/test_audit_beta_three_way.R","UNCHANGED","Retained implementation; no new modeling scope","6e730ab97bb5882501d6f46130d62769537301e8070c0144a1e219070beb9b94","6e730ab97bb5882501d6f46130d62769537301e8070c0144a1e219070beb9b94"
"tests/test_beta_intervals.R","UNCHANGED","Retained implementation; no new modeling scope","9707413f23ad479466ba2c87512213993f7dca98ee5a340856c128224a7e1bb7","9707413f23ad479466ba2c87512213993f7dca98ee5a340856c128224a7e1bb7"
"tests/test_beta_switches.R","UNCHANGED","Retained implementation; no new modeling scope","df7c7868228b00f64d85e10145538bc5056b71a11abeb63b3f2920a0aed6d170","df7c7868228b00f64d85e10145538bc5056b71a11abeb63b3f2920a0aed6d170"
"tests/test_binary_template_key.R","UNCHANGED","Retained implementation; no new modeling scope","b4c359d14091a56c7a1b55d5eaf685f028c1f9da1e0116791c78b80ac6b5eb28","b4c359d14091a56c7a1b55d5eaf685f028c1f9da1e0116791c78b80ac6b5eb28"
"tests/test_contracts.R","UNCHANGED","Retained implementation; no new modeling scope","6a60c0d19fff2a46deb55f315eb67f7bf66d7be26e0b1e52760b136ac23388e6","6a60c0d19fff2a46deb55f315eb67f7bf66d7be26e0b1e52760b136ac23388e6"
"tests/test_input_support_counts.R","UNCHANGED","Retained implementation; no new modeling scope","5e2f5843a59c9a94e4d5f304aca1386f2ce7801244490b8959a7de8c804d5c9e","5e2f5843a59c9a94e4d5f304aca1386f2ce7801244490b8959a7de8c804d5c9e"
"tests/test_integration.R","UNCHANGED","Retained implementation; no new modeling scope","8b2bce823041a9435107e1bb9e33300b313791616cb0718cec0011d1e0c2b36d","8b2bce823041a9435107e1bb9e33300b313791616cb0718cec0011d1e0c2b36d"
"tests/test_orchestration.R","UNCHANGED","Retained implementation; no new modeling scope","bcd5ab69dfc1deeca266d1e6608539db000fcbc7b1641843fe29042be29d54e0","bcd5ab69dfc1deeca266d1e6608539db000fcbc7b1641843fe29042be29d54e0"
"tests/test_prediction_audit.R","UNCHANGED","Retained implementation; no new modeling scope","4d6432834672ebda1c00caf015706968592e0cc242ea1e6bce7539f7f14409f4","4d6432834672ebda1c00caf015706968592e0cc242ea1e6bce7539f7f14409f4"
"tests/test_quantitative_artifacts.R","UNCHANGED","Retained implementation; no new modeling scope","6f707829602da8a66e1e183440d3f133c1690bb0f7b6289c25c71791d7d00c26","6f707829602da8a66e1e183440d3f133c1690bb0f7b6289c25c71791d7d00c26"
"tests/test_quantitative_diagnostics.R","UNCHANGED","Retained implementation; no new modeling scope","df8498654a63806009ffcc968ae64e5f4471c2f165f2bd44f2afa6ca65ccf7cf","df8498654a63806009ffcc968ae64e5f4471c2f165f2bd44f2afa6ca65ccf7cf"
"tests/test_release_regressions.R","UNCHANGED","Retained implementation; no new modeling scope","84b6a5a952a9d5d7de0fb3fb27f2f74d8ea4b65c6987a371a5eb6289d099a874","84b6a5a952a9d5d7de0fb3fb27f2f74d8ea4b65c6987a371a5eb6289d099a874"
"tests/test_report_comparison_wording.R","MODIFIED","Before/after, unchanged-legal-results, scope and regression tests","03816bb4d71a500cfbfdbff82e835945e3ff7479858d8e2ee6f2883b23478c12","ade9a9707633060ad69d958440fe4790244e8e6dfc2588d28ff00e39ad76d791"
"tests/test_scientific_contracts.R","UNCHANGED","Retained implementation; no new modeling scope","aae3dd03d118a89585b1c8a3144f1b8a49ec1680b1e7367eb8533f82d2515816","aae3dd03d118a89585b1c8a3144f1b8a49ec1680b1e7367eb8533f82d2515816"
"tests/test_unequal_integration.R","UNCHANGED","Retained implementation; no new modeling scope","a16d9dd0d64636bc8ec1ab00218cf20ab0c0e7e01fd1717f6053a2df936db8bc","a16d9dd0d64636bc8ec1ab00218cf20ab0c0e7e01fd1717f6053a2df936db8bc"
"tests/test_unequal_posterior_audit.R","UNCHANGED","Retained implementation; no new modeling scope","9bdfb181ef96f95dc2a920dcb0c9e71632bfea82e72b9d2106bd237b06f83de8","9bdfb181ef96f95dc2a920dcb0c9e71632bfea82e72b9d2106bd237b06f83de8"
"tests/test_v32_fullgrid_synthetic.R","UNCHANGED","Retained implementation; no new modeling scope","a92910e3306d8725a2103843a1e0071a15cd56e9faa7a2ba04a6f8c856168fa1","a92910e3306d8725a2103843a1e0071a15cd56e9faa7a2ba04a6f8c856168fa1"
"tests/test_v32_metrics.R","UNCHANGED","Retained implementation; no new modeling scope","00297e0f54b5837e558534c07995f91c3727c547d971a5bd1b3c5a2d20cc571f","00297e0f54b5837e558534c07995f91c3727c547d971a5bd1b3c5a2d20cc571f"
"tests/test_v33_reaudit_saved_fits.R","UNCHANGED","Retained implementation; no new modeling scope","b878f4c4be35c60a79f6d273e16d96e63a03b62a8dc6f0816c17587639a2f957","b878f4c4be35c60a79f6d273e16d96e63a03b62a8dc6f0816c17587639a2f957"
"tests/test_v33_scope_guard.R","UNCHANGED","Retained implementation; no new modeling scope","5591a83d2815140e2acb2903a36781222f9f379a546841f06f6ed5bed08047cc","5591a83d2815140e2acb2903a36781222f9f379a546841f06f6ed5bed08047cc"
"tests/test_v34_input_guards.R","ADDED","Before/after, unchanged-legal-results, scope and regression tests","","d2d647f1905995dbd2a31d5321bbc5ba871265b31f80b3c9908819074150fd3e"
"tests/test_v34_legal_equivalence.R","ADDED","Before/after, unchanged-legal-results, scope and regression tests","","e7208304763974fddd1a996ee98a32b082fbaf89c1d1b6d16f057013ba4a50f5"
"tests/test_v34_scope_guard.R","ADDED","Before/after, unchanged-legal-results, scope and regression tests","","aabaecfe9a8872ac3d7a93916c4e14d30b460e4e9c1be71abfb0479430b8925f"
"tests/test_visual_report.R","UNCHANGED","Retained implementation; no new modeling scope","dea29440b0747fcb4f0307134436f9053d7d8babb27b8f027eb21c4f1cdfaa34","dea29440b0747fcb4f0307134436f9053d7d8babb27b8f027eb21c4f1cdfaa34"
"tests/test_weighted_posterior.R","UNCHANGED","Retained implementation; no new modeling scope","3a0875ac01c4416623711d20939fedc9b481a50cf80bce0f0fdc07117d106812","3a0875ac01c4416623711d20939fedc9b481a50cf80bce0f0fdc07117d106812"
