FigureID,Title,PDF,SVG,PNG_600dpi,Preview,SourceCSV,WidthMM,HeightMM,Estimator,Uncertainty,Scope
F01_data_overview,Data composition and uneven evidence,F01_data_overview.pdf,F01_data_overview.svg,F01_data_overview.png,F01_data_overview_preview.png,figure_data\descriptive\F01_overview_source.csv,180.0,150.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page03,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page03.svg,S02B_panel_page03.png,S02B_panel_page03_preview.png,figure_data\descriptive\S02B_panel_page03_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page04,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page04.svg,S02B_panel_page04.png,S02B_panel_page04_preview.png,figure_data\descriptive\S02B_panel_page04_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page05,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page05.svg,S02B_panel_page05.png,S02B_panel_page05_preview.png,figure_data\descriptive\S02B_panel_page05_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page06,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page06.svg,S02B_panel_page06.png,S02B_panel_page06_preview.png,figure_data\descriptive\S02B_panel_page06_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page07,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page07.svg,S02B_panel_page07.png,S02B_panel_page07_preview.png,figure_data\descriptive\S02B_panel_page07_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page08,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page08.svg,S02B_panel_page08.png,S02B_panel_page08_preview.png,figure_data\descriptive\S02B_panel_page08_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02B_panel_page09,All panel species: amino acids and encodings,S02B_365_species_site_and_encoding_matrix.pdf,S02B_panel_page09.svg,S02B_panel_page09.png,S02B_panel_page09_preview.png,figure_data\descriptive\S02B_panel_page09_source.csv,275.0,255.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02C_M1_category_frequencies,M1: category frequencies and outcome-data coverage,S02C_M1_category_frequencies.pdf,S02C_M1_category_frequencies.svg,S02C_M1_category_frequencies.png,S02C_M1_category_frequencies_preview.png,figure_data\descriptive\S02C_M1_frequencies_source.csv,205.0,245.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02C_M2_category_frequencies,M2: category frequencies and outcome-data coverage,S02C_M2_category_frequencies.pdf,S02C_M2_category_frequencies.svg,S02C_M2_category_frequencies.png,S02C_M2_category_frequencies_preview.png,figure_data\descriptive\S02C_M2_frequencies_source.csv,205.0,245.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
S02C_M3_category_frequencies,M3: category frequencies and outcome-data coverage,S02C_M3_category_frequencies.pdf,S02C_M3_category_frequencies.svg,S02C_M3_category_frequencies.png,S02C_M3_category_frequencies_preview.png,figure_data\descriptive\S02C_M3_frequencies_source.csv,205.0,245.0,Observed data / descriptive counts,None; raw intervals retained,Frozen 2026-09-14 input only; no fitted results
