File,Bytes,SHA256
验证证据/联合似然数值核对.csv,144,d0c9304237325ef0d62381afb9883bf07fd0339f73e7018a2224f0c5e1b3febf
验证证据/命令块语法清单.csv,1633,df82ffaa00dd57a15259d1214b173672bd79bfa491e444b97f5f273aa5ec0a51
验证证据/虚构数据的留出比较.csv,1323,ff5e9bc28acee1583c8d1db7852f6587af278719f81639b5abbef857811b6c41
验证证据/阅读说明.txt,481,3918642c11e9156aa1c2fae05edb4b31bd222051211946b7012361b937aa5517
验证证据/运行环境.txt,2105,0a07919a176688e7112c11aec533628718eb91ecdd52eb895e71ce73da03f5d3
验证证据/主拟合诊断.csv,3509,38276efda17ab2c21cb43506e43100da19c0c4460eebbee9c4ce227dfb601007
验证证据/binary_矩阵数值比较.csv,1583,a3b81f5ea75df9b1f56df8293e6a1014acd5880789511395cf5c961992e2a88a
验证证据/binary_留出物种分配.csv,113,69cad29e655cd3bfde9005b4a38fe6693da4e58c53ed7dd8024a905ca2027c59
验证证据/joint_矩阵数值比较.csv,1823,ad7aa9f68c0cc2a2d8400e44dc6de329b22d62dff2c52cca5e62fbf4cee6cd61
验证证据/joint_留出物种分配.csv,113,69cad29e655cd3bfde9005b4a38fe6693da4e58c53ed7dd8024a905ca2027c59
blank_input/observations.csv,75,06b0475d70133fda7b44bf3768a8c1a9e9117df004767fa57396a29714bf1eb2
blank_input/sites.csv,53,c3c9fad125aa64c5bdbc2a3d371099b4f71faafbd54b9b8377329699d89875d7
demo_input/仅为格式练习.txt,298,c86fd45bf657ea1d62157f622eec48a0d70a38c37b18994b490b4455c65ed0b4
demo_input/observations.csv,1134,cb60f497890d63bf9a3148a03b3c26e00ba4379486c33b9bb91a14f664ba21d0
demo_input/sites.csv,263,511d21c2f476240f82967dd0e1128da9e9199c8d50e0d209cf8abfae5fa5214b
demo_input/tree.nwk,139,38f871d71c960c8164f78619645903d6f34ceda5a2421db305a7799e8e7719a2
OTHER合并阈值更新说明.md,3422,a518a4893e8f69c3f5b4f8d2eca0c8d3c7106d4fb4c135e475a4796de68bc778
README_先读这里.md,5789,cfc001cdf240358bbbd21153d55a90580ad17fbe4ca5863822f1feba5e6802e3
ROC_AUC_新增验证说明.md,3813,c1115891443cb7230358e13fab7ccf3f45ab95c170db35ee5347593fc42af435
validation_input/仅用于数值验证.txt,617,f8135c3caecc74419053e2b3f76f5e09bfcb36a7f05e86e0f42412174a4fbb85
validation_input/observations.csv,4131,e33a1084b2c2f55c95f7f4b31e775284b4782e2a6f7cba3e7d58f2f553172007
validation_input/sites.csv,375,401fcd69d17cea9c1fb194e6682d6ac8b360310402172b09c6036ebfd9e76587
validation_input/tree.nwk,139,38f871d71c960c8164f78619645903d6f34ceda5a2421db305a7799e8e7719a2
