"RecordID","ExperimentID","SourceID","Species","High","Model","Fold","OOFPrHigh","LevelSeenInTraining","FixedEffectEstimable"
"R19","G19","SyntheticSource_2","Synthetic_2",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R20","G20","SyntheticSource_2","Synthetic_2",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R21","G21","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R22","G22","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R23","G23","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R24","G24","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R25","G25","SyntheticSource_3","Synthetic_3",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R26","G26","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R27","G27","SyntheticSource_3","Synthetic_3",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R28","G28","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R29","G29","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R30","G30","SyntheticSource_3","Synthetic_3",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R31","G31","SyntheticSource_4","Synthetic_4",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R32","G32","SyntheticSource_4","Synthetic_4",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R33","G33","SyntheticSource_4","Synthetic_4",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R34","G34","SyntheticSource_4","Synthetic_4",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R35","G35","SyntheticSource_4","Synthetic_4",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R36","G36","SyntheticSource_4","Synthetic_4",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R37","G37","SyntheticSource_4","Synthetic_4",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R38","G38","SyntheticSource_4","Synthetic_4",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R39","G39","SyntheticSource_4","Synthetic_4",0,"Null_U",2,0.432995011646686,TRUE,TRUE
"R41","G41","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R42","G42","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R43","G43","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R44","G44","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R45","G45","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R46","G46","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R47","G47","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R48","G48","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R49","G49","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R50","G50","SyntheticSource_5","Synthetic_5",1,"Null_U",2,0.432995011646686,TRUE,TRUE
"R51","G51","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R52","G52","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R53","G53","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R54","G54","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R55","G55","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R56","G56","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R57","G57","SyntheticSource_6","Synthetic_6",0,"Null_U",1,0.480543028694976,TRUE,TRUE
"R58","G58","SyntheticSource_6","Synthetic_6",1,"Null_U",1,0.480543028694976,TRUE,TRUE
"R1","G1","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R2","G2","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R3","G3","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R4","G4","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R5","G5","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R6","G6","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R7","G7","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R8","G8","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R9","G9","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R10","G10","SyntheticSource_1","Synthetic_1",0,"Phylogeny_only_P",2,0.661322607935022,TRUE,TRUE
"R11","G11","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R12","G12","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R13","G13","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R14","G14","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R15","G15","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R16","G16","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R17","G17","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R18","G18","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R19","G19","SyntheticSource_2","Synthetic_2",0,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R20","G20","SyntheticSource_2","Synthetic_2",1,"Phylogeny_only_P",1,0.118698981993891,TRUE,TRUE
"R21","G21","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R22","G22","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R23","G23","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R24","G24","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R25","G25","SyntheticSource_3","Synthetic_3",1,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R26","G26","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R27","G27","SyntheticSource_3","Synthetic_3",1,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R28","G28","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R29","G29","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R30","G30","SyntheticSource_3","Synthetic_3",0,"Phylogeny_only_P",1,0.363558058888567,TRUE,TRUE
"R31","G31","SyntheticSource_4","Synthetic_4",1,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R32","G32","SyntheticSource_4","Synthetic_4",1,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R33","G33","SyntheticSource_4","Synthetic_4",0,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R34","G34","SyntheticSource_4","Synthetic_4",1,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R35","G35","SyntheticSource_4","Synthetic_4",1,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R36","G36","SyntheticSource_4","Synthetic_4",0,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R37","G37","SyntheticSource_4","Synthetic_4",0,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R38","G38","SyntheticSource_4","Synthetic_4",0,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R39","G39","SyntheticSource_4","Synthetic_4",0,"Phylogeny_only_P",2,0.355855258085147,TRUE,TRUE
"R41","G41","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R42","G42","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R43","G43","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R44","G44","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R45","G45","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R46","G46","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R47","G47","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R48","G48","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R49","G49","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R50","G50","SyntheticSource_5","Synthetic_5",1,"Phylogeny_only_P",2,0.253233390119338,TRUE,TRUE
"R51","G51","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R52","G52","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R53","G53","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R54","G54","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R55","G55","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R56","G56","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R57","G57","SyntheticSource_6","Synthetic_6",0,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R58","G58","SyntheticSource_6","Synthetic_6",1,"Phylogeny_only_P",1,0.905859473961529,TRUE,TRUE
"R1","G1","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R2","G2","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R3","G3","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R4","G4","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R5","G5","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R6","G6","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R7","G7","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R8","G8","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R9","G9","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R10","G10","SyntheticSource_1","Synthetic_1",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R11","G11","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R12","G12","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R13","G13","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R14","G14","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R15","G15","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R16","G16","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R17","G17","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R18","G18","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R19","G19","SyntheticSource_2","Synthetic_2",0,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R20","G20","SyntheticSource_2","Synthetic_2",1,"Site315_U",1,0.63385934789906,TRUE,TRUE
"R21","G21","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R22","G22","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R23","G23","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R24","G24","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R25","G25","SyntheticSource_3","Synthetic_3",1,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R26","G26","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R27","G27","SyntheticSource_3","Synthetic_3",1,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R28","G28","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R29","G29","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R30","G30","SyntheticSource_3","Synthetic_3",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R31","G31","SyntheticSource_4","Synthetic_4",1,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R32","G32","SyntheticSource_4","Synthetic_4",1,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R33","G33","SyntheticSource_4","Synthetic_4",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R34","G34","SyntheticSource_4","Synthetic_4",1,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R35","G35","SyntheticSource_4","Synthetic_4",1,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R36","G36","SyntheticSource_4","Synthetic_4",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R37","G37","SyntheticSource_4","Synthetic_4",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R38","G38","SyntheticSource_4","Synthetic_4",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R39","G39","SyntheticSource_4","Synthetic_4",0,"Site315_U",2,0.35731537590496,TRUE,TRUE
"R41","G41","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R42","G42","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R43","G43","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R44","G44","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R45","G45","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R46","G46","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R47","G47","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R48","G48","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R49","G49","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R50","G50","SyntheticSource_5","Synthetic_5",1,"Site315_U",2,0.5648132287545,TRUE,TRUE
"R51","G51","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R52","G52","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R53","G53","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R54","G54","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R55","G55","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R56","G56","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R57","G57","SyntheticSource_6","Synthetic_6",0,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R58","G58","SyntheticSource_6","Synthetic_6",1,"Site315_U",1,0.408647736136523,TRUE,TRUE
"R1","G1","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R2","G2","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R3","G3","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R4","G4","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R5","G5","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R6","G6","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R7","G7","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R8","G8","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R9","G9","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R10","G10","SyntheticSource_1","Synthetic_1",0,"Site315_P",2,0.575005553109495,TRUE,TRUE
"R11","G11","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R12","G12","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R13","G13","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R14","G14","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R15","G15","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R16","G16","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R17","G17","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R18","G18","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R19","G19","SyntheticSource_2","Synthetic_2",0,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R20","G20","SyntheticSource_2","Synthetic_2",1,"Site315_P",1,0.131650965015669,TRUE,TRUE
"R21","G21","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R22","G22","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R23","G23","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R24","G24","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R25","G25","SyntheticSource_3","Synthetic_3",1,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R26","G26","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R27","G27","SyntheticSource_3","Synthetic_3",1,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R28","G28","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R29","G29","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R30","G30","SyntheticSource_3","Synthetic_3",0,"Site315_P",1,0.365554622429042,TRUE,TRUE
"R31","G31","SyntheticSource_4","Synthetic_4",1,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R32","G32","SyntheticSource_4","Synthetic_4",1,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R33","G33","SyntheticSource_4","Synthetic_4",0,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R34","G34","SyntheticSource_4","Synthetic_4",1,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R35","G35","SyntheticSource_4","Synthetic_4",1,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R36","G36","SyntheticSource_4","Synthetic_4",0,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R37","G37","SyntheticSource_4","Synthetic_4",0,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R38","G38","SyntheticSource_4","Synthetic_4",0,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R39","G39","SyntheticSource_4","Synthetic_4",0,"Site315_P",2,0.352054321697595,TRUE,TRUE
"R41","G41","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R42","G42","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R43","G43","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R44","G44","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R45","G45","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R46","G46","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R47","G47","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R48","G48","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R49","G49","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R50","G50","SyntheticSource_5","Synthetic_5",1,"Site315_P",2,0.322364225674423,TRUE,TRUE
"R51","G51","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R52","G52","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R53","G53","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R54","G54","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R55","G55","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R56","G56","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R57","G57","SyntheticSource_6","Synthetic_6",0,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R58","G58","SyntheticSource_6","Synthetic_6",1,"Site315_P",1,0.90084454651058,TRUE,TRUE
"R1","G1","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R2","G2","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R3","G3","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R4","G4","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R5","G5","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R6","G6","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R7","G7","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R8","G8","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R9","G9","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R10","G10","SyntheticSource_1","Synthetic_1",0,"M1_U",2,0.278971559703338,TRUE,TRUE
"R11","G11","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R12","G12","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R13","G13","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R14","G14","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R15","G15","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R16","G16","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R17","G17","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R18","G18","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R19","G19","SyntheticSource_2","Synthetic_2",0,"M1_U",1,0.669063721617675,FALSE,FALSE
"R20","G20","SyntheticSource_2","Synthetic_2",1,"M1_U",1,0.669063721617675,FALSE,FALSE
"R21","G21","SyntheticSource_3","Synthetic_3",0,"M1_U",1,0.260443485210231,TRUE,TRUE
"R22","G22","SyntheticSource_3","Synthetic_3",0,"M1_U",1,0.260443485210231,TRUE,TRUE
"R23","G23","SyntheticSource_3","Synthetic_3",0,"M1_U",1,0.260443485210231,TRUE,TRUE
"R24","G24","SyntheticSource_3","Synthetic_3",0,"M1_U",1,0.260443485210231,TRUE,TRUE
"R25","G25","SyntheticSource_3","Synthetic_3",1,"M1_U",1,0.260443485210231,TRUE,TRUE
